,Chatting,link_count,word_count,sentence_length,has_numeric,has_emoticon,language_detection,language_py3_detection,py3_confidence,stopword_count,repeated_chars_count,sentiment_score,pos_tag_counts,flesch_reading_ease,gunning_fog_index
0,https://vt.tiktok.com/ZSLbPCg9u/,1,1,32,True,False,Unknown,en,9.06184,0,2,0.0,{'NN': 1},-132.59,0.4
1,"Bhi y apni domain nhi h...

Jo pocha tha wo btayo",0,11,49,False,False,cy,sw,-132.04738,1,3,0.0,{'NNP': 1},99.73,2.2
2,Mein ne send nai kia,0,5,20,False,False,af,de,-40.493874,0,0,-0.6369,{'NNP': 1},117.16,2.0
3,Then think  about that,0,4,22,False,False,en,en,-71.056076,3,1,0.0,{'RB': 1},118.18,1.6
4,https://m.facebook.com/story.php?story_fbid=pfbid02Z26piVHwxhfqLDK7xpw9nuVeSh4HhGw3XTVAAwG6WAdbet2c5GHSvmirXCZyJsCQl&id=100033439960716&sfnsn=scwspwa&mibextid=RUbZ1f,1,1,165,True,False,Unknown,sv,-8.570456,0,8,0.0,{'NN': 1},-1993.79,80.4
5,Kia kehta,0,2,9,False,False,fi,et,-13.7366905,0,0,-0.6369,{'NNP': 1},77.91,0.8
6,Sai sai,0,2,7,False,False,fi,en,0.42638397,0,0,0.0,{'NNP': 1},120.21,0.8
7,Mn iub hi beitha,0,4,16,False,False,cy,en,-45.071606,0,0,0.0,{'NNP': 1},92.8,1.6
8,2 30 pr point aaana ab,0,6,22,True,False,tl,nl,-14.929092,0,2,0.0,{'CD': 1},116.15,2.4
9,Tab aaanei ka faida nai,0,5,23,False,False,so,et,-41.130703,0,2,0.0,{'NNP': 1},100.24,2.0
10,Okay,0,1,4,False,False,tl,en,9.06184,0,0,0.2263,{'NN': 1},121.22,0.4
11,"Upwork cover letter writing tips to close 100 USD / hour jobs

This is how I won a 100 USD / Hour job on Upwork with the help of AI!

https://youtu.be/Faju1y5wFeU",1,31,162,True,False,en,en,-224.08722,11,7,0.7712,{'NNP': 1},67.42,11.6
12,Sao A,0,2,5,False,False,tl,pt,0.8524599,1,0,0.0,{'VB': 1},120.21,0.8
13,Okay,0,1,4,False,False,tl,en,9.06184,0,0,0.2263,{'NN': 1},121.22,0.4
14,Aj speedo nhi chal rahi,0,5,23,False,False,nl,eu,-30.014738,0,1,0.0,{'NNP': 1},117.16,2.0
15,Bnd ho gy h,0,4,11,False,False,cy,en,-10.939972,0,0,0.0,{'NNP': 1},118.18,1.6
16,Suboo bhi rakshaw sa aya tha,0,6,28,False,False,so,tl,-77.76231,0,1,0.0,{'NNP': 1},90.77,2.4
17,Ab mn keh rha k a ke le jata,0,9,28,False,False,et,lb,-85.70504,1,0,0.0,{'NNP': 1},104.64,3.6
18,10:30 tk free ho jyn ga,0,6,23,True,False,so,cy,-27.368704,0,1,0.5106,{'CD': 1},116.15,2.4
19,School sa,0,2,9,False,False,en,en,9.06184,0,1,0.0,{'NNP': 1},120.21,0.8
20,Staff room mn beitha,0,4,20,False,False,cy,de,-34.521427,0,2,0.0,{'NNP': 1},92.8,1.6
21,Period hona wala ja rha,0,5,23,False,False,id,en,-35.984154,0,0,0.0,{'NNP': 1},83.32,10.0
22,Phir sir k sath,0,4,15,False,False,id,lt,-29.91533,0,0,0.0,{'NNP': 1},118.18,1.6
23,Ok,0,1,2,False,False,af,en,9.06184,0,0,0.296,{'NN': 1},121.22,0.4
24,1min,0,1,4,True,False,et,en,9.06184,0,0,0.0,{'CD': 1},121.22,0.4
25,Ahsan so rha ha,0,4,15,False,False,so,en,-9.346802,1,0,0.3976,{'NNP': 1},92.8,1.6
26,Sahi,0,1,4,False,False,so,eu,-0.5936971,0,0,0.0,{'NN': 1},121.22,0.4
27,Raksha per a gana,0,4,17,False,False,id,br,-31.717134,1,0,0.0,{'NNP': 1},92.8,1.6
28,30 rupo leta karaya,0,4,19,True,False,id,es,-22.335712,0,0,0.0,{'CD': 1},92.8,1.6
29,Aa gana,0,2,7,False,False,tl,es,-1.0236435,0,0,0.0,{'NNP': 1},120.21,0.8
30,Ami na kha,0,3,10,False,False,tl,en,0.69629097,0,0,0.0,{'NNP': 1},119.19,1.2
31,"Ami ko bolo k university jana h, uska karaya km az km 60 70 k kareeb la ga",0,18,74,True,False,so,sw,-144.15031,0,1,0.0,{'NNP': 1},78.59,9.42
